# ja/nein/Enthaltung/ungueltig/nichtabgegeben: votes cast in each category across all Abstimmungen in range
# total_votes: sum of the above
# ratio_*: category / total_votes (weighted per vote, so a day with many bundled votes counts more)
# days_present/days_total/days_absent: sitting days attended/total/missed
#   (a day counts as attended if the member cast a real vote on at least one Abstimmung that day)
# ratio_days_present/ratio_days_absent: days_present/days_absent divided by days_total (weighted per day, not per vote)
Fraktion/Gruppe;Vorname;Name;ja;nein;Enthaltung;ungültig;nichtabgegeben;total_votes;ratio_ja;ratio_nein;ratio_Enthaltung;ratio_ungültig;ratio_nichtabgegeben;days_present;days_total;days_absent;ratio_days_present;ratio_days_absent;slug
FDP;Hermann Otto;Solms;92;57;17;0;78;244;0.3770491803278688;0.2336065573770492;0.06967213114754098;0.0;0.319672131147541;73;101;28;0.7227722772277227;0.27722772277227725;hermann-otto-solms
CDU/CSU;Peter;Tauber;99;46;0;0;79;224;0.4419642857142857;0.20535714285714285;0.0;0.0;0.35267857142857145;66;94;28;0.7021276595744681;0.2978723404255319;peter-tauber
Fraktionslos;Verena;Hartmann;43;104;18;0;79;244;0.1762295081967213;0.4262295081967213;0.07377049180327869;0.0;0.3237704918032787;66;101;35;0.6534653465346535;0.3465346534653465;verena-hartmann
CDU/CSU;Hans-Jürgen;Irmer;100;62;2;0;80;244;0.4098360655737705;0.2540983606557377;0.00819672131147541;0.0;0.32786885245901637;71;101;30;0.7029702970297029;0.297029702970297;hans-jurgen-irmer
Fraktionslos;Frank;Pasemann;30;118;12;0;84;244;0.12295081967213115;0.48360655737704916;0.04918032786885246;0.0;0.3442622950819672;65;101;36;0.6435643564356436;0.3564356435643564;frank-pasemann
DIE LINKE.;Gregor;Gysi;54;87;19;0;84;244;0.22131147540983606;0.35655737704918034;0.0778688524590164;0.0;0.3442622950819672;74;101;27;0.7326732673267327;0.26732673267326734;gregor-gysi
AfD;Hansjörg;Müller;42;102;9;0;91;244;0.1721311475409836;0.4180327868852459;0.036885245901639344;0.0;0.3729508196721312;61;101;40;0.6039603960396039;0.39603960396039606;hansjorg-muller
DIE LINKE.;Michael;Leutert;28;66;16;0;91;201;0.13930348258706468;0.3283582089552239;0.07960199004975124;0.0;0.4527363184079602;51;84;33;0.6071428571428571;0.39285714285714285;michael-leutert
DIE LINKE.;Kersten;Steinke;40;91;20;0;93;244;0.16393442622950818;0.3729508196721312;0.08196721311475409;0.0;0.38114754098360654;65;101;36;0.6435643564356436;0.3564356435643564;kersten-steinke
CDU/CSU;Anita;Schäfer (Saalstadt);91;59;1;0;93;244;0.3729508196721312;0.24180327868852458;0.004098360655737705;0.0;0.38114754098360654;64;101;37;0.6336633663366337;0.36633663366336633;anita-schafer-saalstadt
AfD;Martin;Hebner;47;89;12;0;93;241;0.1950207468879668;0.36929460580912865;0.04979253112033195;0.0;0.38589211618257263;53;99;46;0.5353535353535354;0.46464646464646464;martin-hebner
DIE LINKE.;Brigitte;Freihold;39;89;18;0;98;244;0.1598360655737705;0.36475409836065575;0.07377049180327869;0.0;0.4016393442622951;59;101;42;0.5841584158415841;0.4158415841584158;brigitte-freihold
DIE LINKE.;Thomas;Nord;46;84;15;0;99;244;0.1885245901639344;0.3442622950819672;0.06147540983606557;0.0;0.4057377049180328;60;101;41;0.594059405940594;0.40594059405940597;thomas-nord
CDU/CSU;Gerd;Müller;98;45;0;0;101;244;0.4016393442622951;0.18442622950819673;0.0;0.0;0.4139344262295082;60;101;41;0.594059405940594;0.40594059405940597;gerd-muller
DIE LINKE.;Hubertus;Zdebel;38;90;13;0;103;244;0.1557377049180328;0.36885245901639346;0.05327868852459016;0.0;0.42213114754098363;50;101;51;0.49504950495049505;0.504950495049505;hubertus-zdebel
Fraktionslos;Mario;Mieruch;24;71;45;0;104;244;0.09836065573770492;0.29098360655737704;0.18442622950819673;0.0;0.4262295081967213;62;101;39;0.6138613861386139;0.38613861386138615;mario-mieruch
SPD;Heiko;Maas;94;44;0;0;106;244;0.38524590163934425;0.18032786885245902;0.0;0.0;0.4344262295081967;64;101;37;0.6336633663366337;0.36633663366336633;heiko-maas
SPD;Detlev;Pilger;92;43;0;0;109;244;0.3770491803278688;0.1762295081967213;0.0;0.0;0.44672131147540983;50;101;51;0.49504950495049505;0.504950495049505;detlev-pilger
SPD;Gabi;Weber;89;43;0;0;112;244;0.36475409836065575;0.1762295081967213;0.0;0.0;0.45901639344262296;55;101;46;0.5445544554455446;0.45544554455445546;gabi-weber
Fraktionslos;Uwe;Kamann;53;62;13;0;116;244;0.21721311475409835;0.2540983606557377;0.05327868852459016;0.0;0.47540983606557374;52;101;49;0.5148514851485149;0.48514851485148514;uwe-kamann
AfD;Axel;Gehrke;36;81;10;0;117;244;0.14754098360655737;0.3319672131147541;0.040983606557377046;0.0;0.47950819672131145;50;101;51;0.49504950495049505;0.504950495049505;axel-gehrke
AfD;Heiko;Heßenkemper;36;84;6;0;118;244;0.14754098360655737;0.3442622950819672;0.02459016393442623;0.0;0.48360655737704916;59;101;42;0.5841584158415841;0.4158415841584158;heiko-hessenkemper
Fraktionslos;Frauke;Petry;28;68;19;0;129;244;0.11475409836065574;0.2786885245901639;0.0778688524590164;0.0;0.5286885245901639;54;101;47;0.5346534653465347;0.46534653465346537;frauke-petry
FDP;Jimmy;Schulz;1;0;0;0;131;132;0.007575757575757576;0.0;0.0;0.0;0.9924242424242424;1;44;43;0.022727272727272728;0.9772727272727273;jimmy-schulz
DIE LINKE.;Pia;Zimmermann;31;64;13;0;136;244;0.12704918032786885;0.26229508196721313;0.05327868852459016;0.0;0.5573770491803278;41;101;60;0.40594059405940597;0.594059405940594;pia-zimmermann
SPD;Marcus;Held;70;31;3;0;140;244;0.28688524590163933;0.12704918032786885;0.012295081967213115;0.0;0.5737704918032787;46;101;55;0.45544554455445546;0.5445544554455446;marcus-held
CDU/CSU;Peter;Altmaier;66;35;0;0;143;244;0.27049180327868855;0.14344262295081966;0.0;0.0;0.5860655737704918;55;101;46;0.5445544554455446;0.45544554455445546;peter-altmaier
DIE LINKE.;Sylvia;Gabelmann;27;62;7;0;148;244;0.11065573770491803;0.2540983606557377;0.028688524590163935;0.0;0.6065573770491803;36;101;65;0.3564356435643564;0.6435643564356436;sylvia-gabelmann
DIE LINKE.;Sahra;Wagenknecht;22;59;7;0;156;244;0.09016393442622951;0.24180327868852458;0.028688524590163935;0.0;0.639344262295082;41;101;60;0.40594059405940597;0.594059405940594;sahra-wagenknecht
CDU/CSU;Helge;Braun;60;28;0;0;156;244;0.2459016393442623;0.11475409836065574;0.0;0.0;0.639344262295082;47;101;54;0.46534653465346537;0.5346534653465347;helge-braun
DIE LINKE.;Ingrid;Remmers;12;47;6;0;176;241;0.04979253112033195;0.1950207468879668;0.024896265560165973;0.0;0.7302904564315352;25;99;74;0.25252525252525254;0.7474747474747475;ingrid-remmers
CDU/CSU;Angela;Merkel;45;17;0;0;182;244;0.18442622950819673;0.06967213114754098;0.0;0.0;0.7459016393442623;36;101;65;0.3564356435643564;0.6435643564356436;angela-merkel
