# ja/nein/Enthaltung/ungueltig/nichtabgegeben: votes cast in each category across all Abstimmungen in range
# total_votes: sum of the above
# ratio_*: category / total_votes (weighted per vote, so a day with many bundled votes counts more)
# days_present/days_total/days_absent: sitting days attended/total/missed
#   (a day counts as attended if the member cast a real vote on at least one Abstimmung that day)
# ratio_days_present/ratio_days_absent: days_present/days_absent divided by days_total (weighted per day, not per vote)
Fraktion/Gruppe;Vorname;Name;ja;nein;Enthaltung;ungültig;nichtabgegeben;total_votes;ratio_ja;ratio_nein;ratio_Enthaltung;ratio_ungültig;ratio_nichtabgegeben;days_present;days_total;days_absent;ratio_days_present;ratio_days_absent;slug
Die Linke;Jörg;Cezanne;10;28;3;0;1;42;0.23809523809523808;0.6666666666666666;0.07142857142857142;0.0;0.023809523809523808;20;20;0;1.0;0.0;jorg-cezanne
SPD;Hakan;Demir;132;50;0;0;1;183;0.7213114754098361;0.273224043715847;0.0;0.0;0.00546448087431694;87;87;0;1.0;0.0;hakan-demir
FDP;Stephan;Seiter;133;48;1;0;1;183;0.726775956284153;0.26229508196721313;0.00546448087431694;0.0;0.00546448087431694;87;87;0;1.0;0.0;stephan-seiter
AfD;Manfred;Schiller;8;15;1;0;1;25;0.32;0.6;0.04;0.0;0.04;8;8;0;1.0;0.0;manfred-schiller
BÜ90/GR;Anja;Liebert;132;49;1;0;1;183;0.7213114754098361;0.2677595628415301;0.00546448087431694;0.0;0.00546448087431694;87;87;0;1.0;0.0;anja-liebert
AfD;Marcus;Bühl;42;124;16;0;1;183;0.22950819672131148;0.6775956284153005;0.08743169398907104;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;marcus-buhl
CDU/CSU;Michael;Meister;105;75;2;0;1;183;0.5737704918032787;0.4098360655737705;0.01092896174863388;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;michael-meister
CDU/CSU;Paul;Lehrieder;104;76;2;0;1;183;0.5683060109289617;0.41530054644808745;0.01092896174863388;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;paul-lehrieder
CDU/CSU;Christoph;Ploß;103;77;2;0;1;183;0.5628415300546448;0.4207650273224044;0.01092896174863388;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;christoph-ploss
FDP;Julian;Grünke;16;8;0;0;1;25;0.64;0.32;0.0;0.0;0.04;8;8;0;1.0;0.0;julian-grunke
SPD;Leni;Breymaier;132;49;0;0;2;183;0.7213114754098361;0.2677595628415301;0.0;0.0;0.01092896174863388;85;87;2;0.9770114942528736;0.022988505747126436;leni-breymaier
SPD;Heike;Baehrens;133;48;0;0;2;183;0.726775956284153;0.26229508196721313;0.0;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;heike-baehrens
SPD;Esther;Dilcher;132;49;0;0;2;183;0.7213114754098361;0.2677595628415301;0.0;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;esther-dilcher
SPD;Kevin;Leiser;133;48;0;0;2;183;0.726775956284153;0.26229508196721313;0.0;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;kevin-leiser
SPD;Thorsten;Rudolph;132;49;0;0;2;183;0.7213114754098361;0.2677595628415301;0.0;0.0;0.01092896174863388;87;87;0;1.0;0.0;thorsten-rudolph
CDU/CSU;Thomas;Silberhorn;104;75;2;0;2;183;0.5683060109289617;0.4098360655737705;0.01092896174863388;0.0;0.01092896174863388;85;87;2;0.9770114942528736;0.022988505747126436;thomas-silberhorn
FDP;Olaf;In der Beek;134;47;0;0;2;183;0.73224043715847;0.2568306010928962;0.0;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;olaf-in-der-beek
CDU/CSU;Axel;Müller;103;76;2;0;2;183;0.5628415300546448;0.41530054644808745;0.01092896174863388;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;axel-muller
FDP;Benjamin;Strasser;134;46;1;0;2;183;0.73224043715847;0.25136612021857924;0.00546448087431694;0.0;0.01092896174863388;87;87;0;1.0;0.0;benjamin-strasser
SPD;Marja-Liisa;Völlers;132;49;0;0;2;183;0.7213114754098361;0.2677595628415301;0.0;0.0;0.01092896174863388;85;87;2;0.9770114942528736;0.022988505747126436;marja-liisa-vollers
BÜ90/GR;Anja;Reinalter;132;48;1;0;2;183;0.7213114754098361;0.26229508196721313;0.00546448087431694;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;anja-reinalter
BÜ90/GR;Paula;Piechotta;130;48;3;0;2;183;0.7103825136612022;0.26229508196721313;0.01639344262295082;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;paula-piechotta
FDP;Torsten;Herbst;134;46;1;0;2;183;0.73224043715847;0.25136612021857924;0.00546448087431694;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;torsten-herbst
SPD;Takis;Mehmet Ali;126;43;1;0;2;172;0.7325581395348837;0.25;0.005813953488372093;0.0;0.011627906976744186;82;83;1;0.9879518072289156;0.012048192771084338;takis-mehmet-ali
Die Linke;Katja;Kipping;0;1;1;0;2;4;0.0;0.25;0.25;0.0;0.5;1;2;1;0.5;0.5;katja-kipping
SPD;Dirk-Ulrich;Mende;74;32;0;0;2;108;0.6851851851851852;0.2962962962962963;0.0;0.0;0.018518518518518517;54;56;2;0.9642857142857143;0.03571428571428571;dirk-ulrich-mende
BÜ90/GR;Swantje Henrike;Michaelsen;130;50;1;0;2;183;0.7103825136612022;0.273224043715847;0.00546448087431694;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;swantje-henrike-michaelsen
SPD;Bengt;Bergt;132;49;0;0;2;183;0.7213114754098361;0.2677595628415301;0.0;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;bengt-bergt
CDU/CSU;Knut;Abraham;104;75;2;0;2;183;0.5683060109289617;0.4098360655737705;0.01092896174863388;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;knut-abraham
BÜ90/GR;Britta;Haßelmann;131;49;1;0;2;183;0.7158469945355191;0.2677595628415301;0.00546448087431694;0.0;0.01092896174863388;86;87;1;0.9885057471264368;0.011494252873563218;britta-hasselmann
BÜ90/GR;Irene;Mihalic;131;49;1;0;2;183;0.7158469945355191;0.2677595628415301;0.00546448087431694;0.0;0.01092896174863388;85;87;2;0.9770114942528736;0.022988505747126436;irene-mihalic
BÜ90/GR;Oliver;Krischer;21;7;0;0;2;30;0.7;0.23333333333333334;0.0;0.0;0.06666666666666667;13;14;1;0.9285714285714286;0.07142857142857142;oliver-krischer
SPD;Heike;Heubach;27;11;0;0;3;41;0.6585365853658537;0.2682926829268293;0.0;0.0;0.07317073170731707;18;19;1;0.9473684210526315;0.05263157894736842;heike-heubach
SPD;Herbert;Wollmann;130;50;0;0;3;183;0.7103825136612022;0.273224043715847;0.0;0.0;0.01639344262295082;86;87;1;0.9885057471264368;0.011494252873563218;herbert-wollmann
FDP;Claudia;Raffelhüschen;132;47;1;0;3;183;0.7213114754098361;0.2568306010928962;0.00546448087431694;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;claudia-raffelhuschen
CDU/CSU;Martin;Plum;102;76;2;0;3;183;0.5573770491803278;0.41530054644808745;0.01092896174863388;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;martin-plum
FDP;Christian;Bartelt;51;21;1;0;3;76;0.6710526315789473;0.27631578947368424;0.013157894736842105;0.0;0.039473684210526314;38;40;2;0.95;0.05;christian-bartelt
CDU/CSU;Erwin;Rüddel;102;73;2;0;3;180;0.5666666666666667;0.40555555555555556;0.011111111111111112;0.0;0.016666666666666666;84;86;2;0.9767441860465116;0.023255813953488372;erwin-ruddel
FDP;Muhanad;Al-Halak;135;45;0;0;3;183;0.7377049180327869;0.2459016393442623;0.0;0.0;0.01639344262295082;87;87;0;1.0;0.0;muhanad-al-halak
FDP;Philipp;Hartewig;132;47;1;0;3;183;0.7213114754098361;0.2568306010928962;0.00546448087431694;0.0;0.01639344262295082;86;87;1;0.9885057471264368;0.011494252873563218;philipp-hartewig
FDP;Anja;Schulz;131;48;1;0;3;183;0.7158469945355191;0.26229508196721313;0.00546448087431694;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;anja-schulz
FDP;Sandra;Bubendorfer-Licht;133;47;0;0;3;183;0.726775956284153;0.2568306010928962;0.0;0.0;0.01639344262295082;87;87;0;1.0;0.0;sandra-bubendorfer-licht
BÜ90/GR;Kassem;Taher Saleh;132;47;1;0;3;183;0.7213114754098361;0.2568306010928962;0.00546448087431694;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;kassem-taher-saleh
FDP;Stephan;Thomae;133;46;1;0;3;183;0.726775956284153;0.25136612021857924;0.00546448087431694;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;stephan-thomae
SPD;Carlos;Kasper;130;49;1;0;3;183;0.7103825136612022;0.2677595628415301;0.00546448087431694;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;carlos-kasper
BÜ90/GR;Michael;Sacher;107;42;1;0;3;153;0.6993464052287581;0.27450980392156865;0.006535947712418301;0.0;0.0196078431372549;72;73;1;0.9863013698630136;0.0136986301369863;michael-sacher
CDU/CSU;Thorsten;Frei;101;77;2;0;3;183;0.5519125683060109;0.4207650273224044;0.01092896174863388;0.0;0.01639344262295082;86;87;1;0.9885057471264368;0.011494252873563218;thorsten-frei
CDU/CSU;Markus;Reichel;101;77;2;0;3;183;0.5519125683060109;0.4207650273224044;0.01092896174863388;0.0;0.01639344262295082;86;87;1;0.9885057471264368;0.011494252873563218;markus-reichel
BÜ90/GR;Linda;Heitmann;129;49;2;0;3;183;0.7049180327868853;0.2677595628415301;0.01092896174863388;0.0;0.01639344262295082;87;87;0;1.0;0.0;linda-heitmann
BÜ90/GR;Leon;Eckert;131;47;2;0;3;183;0.7158469945355191;0.2568306010928962;0.01092896174863388;0.0;0.01639344262295082;86;87;1;0.9885057471264368;0.011494252873563218;leon-eckert
SPD;Angelika;Glöckner;132;48;0;0;3;183;0.7213114754098361;0.26229508196721313;0.0;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;angelika-glockner
BÜ90/GR;Boris;Mijatovic;132;47;1;0;3;183;0.7213114754098361;0.2568306010928962;0.00546448087431694;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;boris-mijatovic
SPD;Zanda;Martens;132;48;0;0;3;183;0.7213114754098361;0.26229508196721313;0.0;0.0;0.01639344262295082;86;87;1;0.9885057471264368;0.011494252873563218;zanda-martens
SPD;Sören;Bartol;130;50;0;0;3;183;0.7103825136612022;0.273224043715847;0.0;0.0;0.01639344262295082;87;87;0;1.0;0.0;soren-bartol
BÜ90/GR;Beate;Müller-Gemmeke;127;52;1;0;3;183;0.6939890710382514;0.28415300546448086;0.00546448087431694;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;beate-muller-gemmeke
SPD;Karamba;Diaby;132;48;0;0;3;183;0.7213114754098361;0.26229508196721313;0.0;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;karamba-diaby
SPD;Martin;Kröber;131;49;0;0;3;183;0.7158469945355191;0.2677595628415301;0.0;0.0;0.01639344262295082;85;87;2;0.9770114942528736;0.022988505747126436;martin-krober
BÜ90/GR;Johannes;Wagner;128;49;2;0;4;183;0.6994535519125683;0.2677595628415301;0.01092896174863388;0.0;0.02185792349726776;86;87;1;0.9885057471264368;0.011494252873563218;johannes-wagner
CDU/CSU;Sepp;Müller;99;78;2;0;4;183;0.5409836065573771;0.4262295081967213;0.01092896174863388;0.0;0.02185792349726776;86;87;1;0.9885057471264368;0.011494252873563218;sepp-muller
BÜ90/GR;Kai;Gehring;129;49;1;0;4;183;0.7049180327868853;0.2677595628415301;0.00546448087431694;0.0;0.02185792349726776;84;87;3;0.9655172413793104;0.034482758620689655;kai-gehring
SPD;Dirk;Wiese;132;47;0;0;4;183;0.7213114754098361;0.2568306010928962;0.0;0.0;0.02185792349726776;84;87;3;0.9655172413793104;0.034482758620689655;dirk-wiese
BÜ90/GR;Kirsten;Kappert-Gonther;131;47;1;0;4;183;0.7158469945355191;0.2568306010928962;0.00546448087431694;0.0;0.02185792349726776;85;87;2;0.9770114942528736;0.022988505747126436;kirsten-kappert-gonther
BÜ90/GR;Lukas;Benner;130;48;1;0;4;183;0.7103825136612022;0.26229508196721313;0.00546448087431694;0.0;0.02185792349726776;85;87;2;0.9770114942528736;0.022988505747126436;lukas-benner
SPD;Mahmut;Özdemir (Duisburg);128;51;0;0;4;183;0.6994535519125683;0.2786885245901639;0.0;0.0;0.02185792349726776;85;87;2;0.9770114942528736;0.022988505747126436;mahmut-ozdemir-duisburg
SPD;Markus;Hümpfer;130;49;0;0;4;183;0.7103825136612022;0.2677595628415301;0.0;0.0;0.02185792349726776;85;87;2;0.9770114942528736;0.022988505747126436;markus-humpfer
CDU/CSU;Ottilie;Klein;104;73;2;0;4;183;0.5683060109289617;0.3989071038251366;0.01092896174863388;0.0;0.02185792349726776;84;87;3;0.9655172413793104;0.034482758620689655;ottilie-klein
CDU/CSU;Dietrich;Monstadt;101;76;2;0;4;183;0.5519125683060109;0.41530054644808745;0.01092896174863388;0.0;0.02185792349726776;83;87;4;0.9540229885057471;0.04597701149425287;dietrich-monstadt
CDU/CSU;Stefan;Nacke;102;74;3;0;4;183;0.5573770491803278;0.40437158469945356;0.01639344262295082;0.0;0.02185792349726776;84;87;3;0.9655172413793104;0.034482758620689655;stefan-nacke
SPD;Mathias;Stein;131;48;0;0;4;183;0.7158469945355191;0.26229508196721313;0.0;0.0;0.02185792349726776;84;87;3;0.9655172413793104;0.034482758620689655;mathias-stein
SPD;Bernd;Rützel;130;49;0;0;4;183;0.7103825136612022;0.2677595628415301;0.0;0.0;0.02185792349726776;86;87;1;0.9885057471264368;0.011494252873563218;bernd-rutzel
BÜ90/GR;Tina;Winklmann;131;47;1;0;4;183;0.7158469945355191;0.2568306010928962;0.00546448087431694;0.0;0.02185792349726776;86;87;1;0.9885057471264368;0.011494252873563218;tina-winklmann
SPD;Tanja;Machalet;131;48;0;0;4;183;0.7158469945355191;0.26229508196721313;0.0;0.0;0.02185792349726776;87;87;0;1.0;0.0;tanja-machalet
CDU/CSU;André;Berghegger;69;54;1;0;4;128;0.5390625;0.421875;0.0078125;0.0;0.03125;56;59;3;0.9491525423728814;0.05084745762711865;andre-berghegger
FDP;Thomas;Sattelberger;29;8;0;0;4;41;0.7073170731707317;0.1951219512195122;0.0;0.0;0.0975609756097561;15;16;1;0.9375;0.0625;thomas-sattelberger
FDP;Gerald;Ullrich;123;46;10;0;4;183;0.6721311475409836;0.25136612021857924;0.0546448087431694;0.0;0.02185792349726776;86;87;1;0.9885057471264368;0.011494252873563218;gerald-ullrich
FDP;Friedhelm;Boginski;131;47;1;0;4;183;0.7158469945355191;0.2568306010928962;0.00546448087431694;0.0;0.02185792349726776;87;87;0;1.0;0.0;friedhelm-boginski
SPD;Jakob;Blankenburg;131;48;0;0;4;183;0.7158469945355191;0.26229508196721313;0.0;0.0;0.02185792349726776;84;87;3;0.9655172413793104;0.034482758620689655;jakob-blankenburg
CDU/CSU;Jan;Metzler;101;76;2;0;4;183;0.5519125683060109;0.41530054644808745;0.01092896174863388;0.0;0.02185792349726776;83;87;4;0.9540229885057471;0.04597701149425287;jan-metzler
SPD;Sebastian;Roloff;134;45;0;0;4;183;0.73224043715847;0.2459016393442623;0.0;0.0;0.02185792349726776;86;87;1;0.9885057471264368;0.011494252873563218;sebastian-roloff
SPD;Jens;Zimmermann;130;49;0;0;4;183;0.7103825136612022;0.2677595628415301;0.0;0.0;0.02185792349726776;85;87;2;0.9770114942528736;0.022988505747126436;jens-zimmermann
BÜ90/GR;Andreas;Audretsch;131;46;1;0;5;183;0.7158469945355191;0.25136612021857924;0.00546448087431694;0.0;0.0273224043715847;86;87;1;0.9885057471264368;0.011494252873563218;andreas-audretsch
BÜ90/GR;Sara;Nanni;131;45;2;0;5;183;0.7158469945355191;0.2459016393442623;0.01092896174863388;0.0;0.0273224043715847;87;87;0;1.0;0.0;sara-nanni
SPD;Franziska;Kersten;130;48;0;0;5;183;0.7103825136612022;0.26229508196721313;0.0;0.0;0.0273224043715847;85;87;2;0.9770114942528736;0.022988505747126436;franziska-kersten
SPD;Helge;Lindh;129;49;0;0;5;183;0.7049180327868853;0.2677595628415301;0.0;0.0;0.0273224043715847;85;87;2;0.9770114942528736;0.022988505747126436;helge-lindh
SPD;Martin;Gerster;131;47;0;0;5;183;0.7158469945355191;0.2568306010928962;0.0;0.0;0.0273224043715847;84;87;3;0.9655172413793104;0.034482758620689655;martin-gerster
SPD;Dagmar;Schmidt (Wetzlar);131;47;0;0;5;183;0.7158469945355191;0.2568306010928962;0.0;0.0;0.0273224043715847;84;87;3;0.9655172413793104;0.034482758620689655;dagmar-schmidt-wetzlar
SPD;Martin;Rosemann;129;49;0;0;5;183;0.7049180327868853;0.2677595628415301;0.0;0.0;0.0273224043715847;85;87;2;0.9770114942528736;0.022988505747126436;martin-rosemann
CDU/CSU;Bettina Margarethe;Wiesmann;30;15;1;0;5;51;0.5882352941176471;0.29411764705882354;0.0196078431372549;0.0;0.09803921568627451;23;25;2;0.92;0.08;bettina-margarethe-wiesmann
FDP;Ingo;Bodtke;126;46;6;0;5;183;0.6885245901639344;0.25136612021857924;0.03278688524590164;0.0;0.0273224043715847;84;87;3;0.9655172413793104;0.034482758620689655;ingo-bodtke
SPD;Ana-Maria;Trasnea;31;13;0;0;5;49;0.6326530612244898;0.2653061224489796;0.0;0.0;0.10204081632653061;23;25;2;0.92;0.08;ana-maria-trasnea
CDU/CSU;Martina;Englhardt-Kopf;99;76;3;0;5;183;0.5409836065573771;0.41530054644808745;0.01639344262295082;0.0;0.0273224043715847;84;87;3;0.9655172413793104;0.034482758620689655;martina-englhardt-kopf
SPD;Alexander;Bartz;94;31;0;0;5;130;0.7230769230769231;0.23846153846153847;0.0;0.0;0.038461538461538464;63;64;1;0.984375;0.015625;alexander-bartz
CDU/CSU;Marc;Biadacz;100;76;2;0;5;183;0.546448087431694;0.41530054644808745;0.01092896174863388;0.0;0.0273224043715847;84;87;3;0.9655172413793104;0.034482758620689655;marc-biadacz
SPD;Frauke;Heiligenstadt;131;47;0;0;5;183;0.7158469945355191;0.2568306010928962;0.0;0.0;0.0273224043715847;83;87;4;0.9540229885057471;0.04597701149425287;frauke-heiligenstadt
